,aclu_id,name,official_name,party,district,state,legislator_type,zeroed_district,congressional_district
476,aclu/elections-api/congress_legislator:693,,Raja Krishnamoorthi,Democrat,8,IL,rep,8,1708
477,aclu/elections-api/congress_legislator:696,Robin Kelly,Robin L. Kelly,Democrat,2,IL,rep,2,1702
478,aclu/elections-api/congress_legislator:679,Adam Kinzinger,Adam Kinzinger,Republican,16,IL,rep,16,1716
479,aclu/elections-api/congress_legislator:694,Randy Hultgren,Randy Hultgren,Republican,14,IL,rep,14,1714
480,aclu/elections-api/congress_legislator:683,Cheri Bustos,Cheri Bustos,Democrat,17,IL,rep,17,1717
481,aclu/elections-api/congress_legislator:691,Michael Quigley,Mike Quigley,Democrat,5,IL,rep,5,1705
482,aclu/elections-api/congress_legislator:11539,,"Jesús G. ""Chuy"" García",Democrat,4,IL,rep,4,1704
483,aclu/elections-api/congress_legislator:686,Darin LaHood,Darin LaHood,Republican,18,IL,rep,18,1718
484,aclu/elections-api/congress_legislator:681,Bobby Rush,Bobby L. Rush,Democrat,1,IL,rep,1,1701
485,aclu/elections-api/congress_legislator:689,Luis V. Gutierrez,Luis V. Gutiérrez,Democrat,4,IL,rep,4,1704
486,aclu/elections-api/congress_legislator:684,Daniel Lipinski,Daniel Lipinski,Democrat,3,IL,rep,3,1703
487,aclu/elections-api/congress_legislator:690,,Mike Bost,Republican,12,IL,rep,12,1712
488,aclu/elections-api/congress_legislator:11540,,Lauren Underwood,Democrat,14,IL,rep,14,1714
489,aclu/elections-api/congress_legislator:680,Bill Foster,Bill Foster,Democrat,11,IL,rep,11,1711
490,aclu/elections-api/congress_legislator:11541,,Sean Casten,Democrat,6,IL,rep,6,1706
491,aclu/elections-api/congress_legislator:688,John M. Shimkus,John Shimkus,Republican,15,IL,rep,15,1715
492,aclu/elections-api/congress_legislator:697,Rodney Davis (Illinois),Rodney Davis,Republican,13,IL,rep,13,1713
493,aclu/elections-api/congress_legislator:687,Jan Schakowsky,Janice D. Schakowsky,Democrat,9,IL,rep,9,1709
494,aclu/elections-api/congress_legislator:685,Danny K. Davis,Danny K. Davis,Democrat,7,IL,rep,7,1707
495,aclu/elections-api/congress_legislator:731,Steve Scalise,Steve Scalise,Republican,1,LA,rep,1,2201
496,aclu/elections-api/congress_legislator:730,Ralph Abraham,Ralph Lee Abraham,Republican,5,LA,rep,5,2205
497,aclu/elections-api/congress_legislator:725,Cedric Richmond,Cedric L. Richmond,Democrat,2,LA,rep,2,2202
498,aclu/elections-api/congress_legislator:726,,Clay Higgins,Republican,3,LA,rep,3,2203
